ID,Year_Birth,Education,Marital_Status, Income ,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,NumWebPurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
2795,1958,Master,Single,"$30,523.00 ",7/1/13,0,5,0,3,0,1,7,0,0,0,0,0
2285,1954,Master,Together,"$36,634.00 ",5/28/13,0,213,9,76,4,5,7,0,0,0,0,0
115,1966,Master,Single,"$43,456.00 ",3/26/13,0,275,11,68,25,5,5,0,0,0,0,0
10470,1979,Master,Married,"$40,662.00 ",3/15/13,0,40,2,23,0,2,4,0,0,0,0,0
4065,1976,PhD,Married,"$49,544.00 ",2/12/13,0,308,0,73,0,5,7,0,0,0,0,0
10968,1969,Graduation,Single,"$57,731.00 ",11/23/12,0,266,21,300,65,8,6,0,0,0,0,0
5985,1965,Master,Single,"$33,168.00 ",10/13/12,0,80,1,37,0,2,7,0,0,0,0,0
5430,1956,Graduation,Together,"$54,450.00 ",9/14/12,0,454,0,171,8,9,8,0,0,0,0,0
8432,1956,Graduation,Together,"$54,450.00 ",9/14/12,0,454,0,171,8,9,8,0,0,0,0,0
453,1956,PhD,Widow,"$35,340.00 ",6/29/14,1,27,0,12,0,2,5,0,0,0,0,0
9687,1975,Graduation,Single,"$73,170.00 ",5/31/14,1,184,174,256,50,5,2,0,0,0,0,0
8890,1971,PhD,Divorced,"$65,808.00 ",5/30/14,1,155,7,80,13,5,6,0,0,0,0,0
9264,1986,Graduation,Married,"$79,529.00 ",4/27/14,1,423,42,706,73,4,2,0,0,0,0,0
5824,1972,PhD,Together,"$34,578.00 ",4/11/14,1,7,0,1,0,1,6,0,0,0,0,0
5794,1974,PhD,Married,"$46,374.00 ",3/17/14,1,408,0,21,0,7,8,0,1,0,1,0
3068,1990,Graduation,Married,"$18,351.00 ",10/29/13,1,1,12,9,0,2,7,0,0,0,0,0
7962,1987,PhD,Single,"$95,169.00 ",10/9/13,1,1285,21,449,106,4,1,0,0,1,1,0
2681,1984,2n Cycle,Married,"$65,370.00 ",8/1/13,1,71,22,112,138,2,1,0,0,0,0,0
10141,1960,Master,Divorced,"$39,228.00 ",5/10/13,1,7,1,6,0,0,4,0,0,0,0,0
3725,1961,PhD,Single,"$84,865.00 ",5/9/13,1,1248,16,349,43,2,4,0,1,1,1,1
3767,1968,Graduation,Married,"$61,314.00 ",4/25/13,1,378,0,189,97,5,3,0,0,0,0,0
5585,1972,Graduation,Single,"$21,359.00 ",4/20/13,1,12,2,17,6,2,8,0,0,0,0,0
7030,1955,PhD,Married,"$66,465.00 ",3/30/13,1,1200,0,204,38,11,6,0,0,0,1,0
1524,1983,2n Cycle,Single,"$81,698.00 ",3/1/13,1,709,45,115,30,8,5,0,0,0,1,0
3657,1986,Graduation,Single,"$39,146.00 ",2/14/13,1,94,1,33,13,4,8,0,0,0,0,0
5740,1970,2n Cycle,Divorced,"$25,959.00 ",2/14/13,1,4,2,12,7,1,6,0,0,0,0,0
9595,1961,Graduation,Together,"$64,260.00 ",1/11/13,1,539,169,816,20,4,3,0,0,0,0,0
3158,1973,Graduation,Married,"$32,300.00 ",1/3/13,1,13,3,6,6,1,8,0,0,0,0,0
5114,1965,Master,Married,"$74,806.00 ",12/19/12,1,670,9,249,0,5,4,0,0,0,0,0
340,1970,Graduation,Divorced,"$72,967.00 ",12/15/12,1,158,35,179,0,7,5,1,0,0,0,0
8805,1960,Graduation,Single,"$48,904.00 ",12/2/12,1,283,10,38,0,7,8,0,0,0,0,0
1241,1984,2n Cycle,Married,"$14,796.00 ",9/17/12,1,13,3,8,7,1,9,0,0,0,0,0
1402,1954,Master,Married,"$66,991.00 ",9/11/12,1,496,36,460,189,4,3,0,0,0,0,0
7264,1978,2n Cycle,Single,"$52,195.00 ",5/12/14,2,12,0,4,0,1,8,0,0,0,0,0
1619,1956,Graduation,Married,"$90,369.00 ",4/28/14,2,292,51,981,224,4,1,0,0,0,0,0
6398,1974,Basic,Married,"$18,393.00 ",3/29/14,2,7,10,13,16,3,8,0,0,0,0,0
1857,1952,Graduation,Single,"$47,139.00 ",3/6/14,2,46,0,12,0,2,7,0,0,0,0,0
4877,1973,Master,Married,"$38,576.00 ",3/4/14,2,34,0,7,0,1,7,0,0,0,0,0
3066,1975,PhD,Together,"$61,905.00 ",2/4/14,2,167,0,43,6,4,5,0,0,0,0,0
10286,1962,Graduation,Married,"$83,715.00 ",2/3/14,2,318,8,407,150,2,0,0,0,0,0,0
1992,1964,Graduation,Married,"$60,597.00 ",1/1/14,2,522,0,257,32,2,7,0,0,0,1,0
4246,1982,Master,Single,"$6,560.00 ",12/12/13,2,67,11,26,4,1,17,0,0,0,0,0
10623,1961,Master,Together,"$48,330.00 ",11/15/13,2,28,0,4,0,1,5,0,0,0,0,0
4867,1968,PhD,Single,"$38,236.00 ",9/20/13,2,58,0,18,2,3,7,0,0,0,0,0
3112,1977,Master,Married,"$22,701.00 ",9/5/13,2,2,4,9,0,1,5,0,0,0,0,0
4865,1974,Master,Divorced,"$53,367.00 ",8/31/13,2,229,7,140,10,5,7,0,0,0,0,0
6287,1986,Graduation,Together,"$34,728.00 ",7/30/13,2,14,0,16,0,1,6,0,0,0,0,0
4405,1956,Master,Married,"$63,915.00 ",7/30/13,2,622,7,115,30,6,5,0,0,0,0,0
5332,1960,2n Cycle,Married,"$82,504.00 ",7/27/13,2,362,50,431,134,3,1,0,0,0,0,0
1519,1972,PhD,Single,"$38,578.00 ",6/22/13,2,38,4,22,3,3,8,0,0,0,0,0
9080,1972,PhD,Single,"$38,578.00 ",6/22/13,2,38,4,22,3,3,8,0,0,0,0,0
1772,1975,PhD,Married,"$79,174.00 ",1/11/13,2,1074,37,518,193,5,2,0,0,1,1,0
5341,1962,2n Cycle,Divorced,"$81,975.00 ",1/5/13,2,983,76,184,180,6,7,0,0,1,0,0
5510,1977,Master,Married,"$43,263.00 ",11/21/12,2,262,6,61,0,5,5,0,0,0,0,0
3887,1970,Graduation,Single,"$27,242.00 ",11/11/12,2,3,17,26,20,2,9,0,0,0,0,0
7022,1971,Graduation,Married,"$76,445.00 ",9/28/12,2,739,107,309,140,2,6,0,0,0,0,0
9999,1965,Graduation,Together,"$75,276.00 ",9/27/12,2,610,105,125,137,9,5,0,0,0,0,0
10352,1963,Graduation,Widow,"$34,213.00 ",9/7/12,2,50,4,28,6,3,9,0,0,0,0,0
7919,1976,PhD,Together,"$72,335.00 ",8/13/12,2,1285,105,653,28,10,8,0,0,0,0,0
4114,1964,Master,Married,"$79,143.00 ",8/11/12,2,650,37,780,27,6,3,0,0,0,0,0
7990,1947,Graduation,Married,"$27,469.00 ",8/2/12,2,9,1,2,3,0,6,0,0,0,0,0
9888,1969,Graduation,Together,"$68,695.00 ",6/25/14,3,458,81,356,106,4,2,0,0,0,0,0
4399,1969,Graduation,Together,"$68,695.00 ",6/25/14,3,458,81,356,106,4,2,0,0,0,0,0
4452,1957,Graduation,Single,"$50,388.00 ",5/28/14,3,292,6,37,0,6,7,0,1,0,1,0
4785,1970,PhD,Together,"$77,622.00 ",4/14/14,3,520,7,154,19,6,3,0,0,0,0,0
8461,1962,Graduation,Divorced,"$46,102.00 ",3/10/14,3,14,0,1,0,1,7,0,0,0,0,0
3878,1980,2n Cycle,Single,"$31,859.00 ",2/27/14,3,3,4,7,15,1,7,0,0,0,0,0
9612,1987,2n Cycle,Single,"$23,830.00 ",2/7/14,3,1,8,6,4,1,7,0,0,0,0,0
4098,1973,Graduation,Married,"$24,639.00 ",1/28/14,3,20,3,16,0,2,6,0,0,0,0,0
158,1945,PhD,Together,"$71,604.00 ",11/17/13,3,345,53,528,98,8,4,1,0,0,0,0
3896,1984,Graduation,Married,"$27,255.00 ",11/7/13,3,22,1,11,0,1,7,0,0,0,0,0
9970,1977,Graduation,Together,"$55,375.00 ",10/17/13,3,42,11,57,10,1,2,0,0,0,0,0
4002,1960,PhD,Married,"$77,037.00 ",10/13/13,3,463,96,333,168,7,3,0,0,0,0,0
10914,1970,Graduation,Single,"$24,163.00 ",10/12/13,3,4,1,7,2,1,4,0,0,0,0,0
7279,1969,PhD,Together,"$69,476.00 ",9/30/13,3,260,86,559,63,4,2,0,0,0,0,0
10582,1979,Graduation,Married,"$72,063.00 ",7/3/13,3,180,32,348,76,5,2,0,0,0,0,0
4470,1962,Master,Married,"$58,646.00 ",6/10/13,3,62,1,44,6,2,4,0,0,0,0,0
6183,1962,Master,Married,"$58,646.00 ",6/10/13,3,62,1,44,6,2,4,0,0,0,0,0
6379,1949,Master,Widow,"$47,570.00 ",5/29/13,3,67,1,20,0,2,7,0,0,0,0,0
8601,1980,Graduation,Married,"$80,011.00 ",4/29/13,3,421,76,536,82,8,4,0,0,0,0,0
4827,1956,PhD,Single,"$54,998.00 ",3/10/13,3,154,22,202,39,4,4,0,0,0,0,0
6715,1948,PhD,Single,"$60,200.00 ",1/2/13,3,502,19,132,0,6,6,0,0,0,0,0
10676,1982,Graduation,Married,"$63,211.00 ",11/2/12,3,145,193,459,205,3,2,0,0,0,0,0
1041,1973,PhD,Single,"$48,432.00 ",10/18/12,3,322,3,50,4,7,8,0,0,0,0,0
492,1973,PhD,YOLO,"$48,432.00 ",10/18/12,3,322,3,50,4,7,8,0,0,0,0,0
11133,1973,PhD,YOLO,"$48,432.00 ",10/18/12,3,322,3,50,4,7,8,0,0,0,0,0
4491,1949,Master,Married,"$62,845.00 ",10/1/12,3,1099,0,45,0,3,8,0,1,0,0,0
873,1949,Master,Married,"$62,845.00 ",10/1/12,3,1099,0,45,0,3,8,0,1,0,0,0
1631,1965,PhD,Together,"$65,220.00 ",9/3/12,3,890,63,292,0,8,6,0,0,0,0,0
8278,1990,PhD,Married,"$74,214.00 ",8/26/12,3,863,83,547,86,8,5,0,0,0,0,0
6815,1980,2n Cycle,Married,"$96,547.00 ",5/23/14,4,448,21,125,52,7,2,1,0,1,1,0
254,1955,Graduation,Together,"$53,863.00 ",5/17/14,4,399,4,30,6,7,7,0,1,0,0,0
1349,1970,Graduation,Married,"$50,447.00 ",4/21/14,4,85,7,24,2,3,6,0,0,0,0,0
2534,1953,Graduation,Married,"$37,716.00 ",4/21/14,4,97,1,41,6,4,7,0,0,0,0,0
2130,1982,Graduation,Together,"$45,203.00 ",3/23/14,4,35,3,67,10,3,6,0,0,0,0,0
2296,1975,Master,Married,"$37,368.00 ",12/16/13,4,3,2,11,2,1,6,1,0,0,0,0
3799,1955,Graduation,Married,"$67,225.00 ",11/26/13,4,315,35,322,46,7,5,0,0,0,0,0
11084,1976,Master,Together,"$65,104.00 ",11/14/13,4,738,0,232,13,3,7,0,0,0,0,0
5172,1976,Master,Together,"$65,104.00 ",11/14/13,4,738,0,232,13,3,7,0,0,0,0,0
9504,1949,Master,Married,"$81,698.00 ",11/6/13,4,179,28,520,111,3,1,0,0,0,0,0
850,1968,Graduation,Single,"$70,566.00 ",10/6/13,4,381,28,215,84,6,3,0,0,0,0,0
4477,1958,Graduation,Together,"$69,096.00 ",9/27/13,4,247,49,159,7,5,4,0,0,0,0,0
1945,1962,Graduation,Married,"$71,434.00 ",9/18/13,4,711,36,217,172,7,4,0,1,0,1,0
7685,1978,Graduation,Married,"$33,039.00 ",9/9/13,4,30,8,12,8,2,5,0,0,0,0,0
6310,1978,Graduation,Married,"$33,039.00 ",9/9/13,4,30,8,12,8,2,5,0,0,0,0,0
10832,1958,Graduation,Together,"$46,610.00 ",7/18/13,4,288,10,30,4,6,6,0,0,0,0,0
3025,1958,Graduation,Single,"$49,967.00 ",7/8/13,4,212,6,69,4,6,7,0,0,0,0,0
2404,1976,Graduation,Married,"$53,359.00 ",5/27/13,4,173,4,30,3,5,7,0,0,0,0,0
8581,1971,Master,Married,"$49,505.00 ",3/5/13,4,604,0,100,19,10,8,0,0,0,0,0
8755,1946,Master,Married,"$68,657.00 ",2/20/13,4,482,34,471,119,3,7,0,0,0,0,0
10177,1954,Graduation,Divorced,"$72,071.00 ",2/14/13,4,531,69,300,150,5,2,0,0,0,0,0
2429,1954,Graduation,Divorced,"$72,071.00 ",2/14/13,4,531,69,300,150,5,2,0,0,0,0,0
8920,1967,Master,Single,"$59,235.00 ",1/12/13,4,448,40,469,80,11,7,0,0,0,0,0
8430,1957,Graduation,Together,"$21,994.00 ",12/24/12,4,9,0,6,3,0,5,0,0,0,0,0
8619,1957,Graduation,Together,"$21,994.00 ",12/24/12,4,9,0,6,3,0,5,0,0,0,0,0
8996,1957,PhD,Married,,11/19/12,4,230,42,192,49,7,9,0,0,0,0,0
7233,1972,Graduation,Married,"$69,209.00 ",9/17/12,4,496,32,849,229,5,4,0,0,0,1,0
6678,1989,Graduation,Together,"$31,928.00 ",3/28/14,5,33,4,24,4,3,7,0,0,0,0,0
830,1987,PhD,Single,"$74,004.00 ",2/24/14,5,784,48,560,42,4,3,0,0,1,1,0
6365,1987,2n Cycle,Married,"$30,390.00 ",9/2/13,5,10,12,12,25,2,6,0,0,0,0,0
6770,1985,Graduation,Married,"$21,355.00 ",8/20/13,5,5,13,14,0,2,6,1,0,0,0,0
2261,1969,Graduation,Married,"$26,304.00 ",6/23/13,5,4,1,5,2,1,7,0,0,0,0,0
1031,1989,2n Cycle,Married,"$85,710.00 ",5/5/13,5,600,20,350,29,6,2,0,0,1,0,0
10089,1974,Graduation,Divorced,"$102,692.00 ",4/5/13,5,168,148,444,32,6,2,0,1,1,1,1
9256,1971,Graduation,Single,"$58,350.00 ",1/4/13,5,493,26,206,116,8,6,0,0,0,0,0
10641,1978,Graduation,Single,"$7,500.00 ",12/27/12,5,6,5,4,13,2,6,0,0,0,0,0
624,1984,Master,Single,"$18,890.00 ",11/10/12,5,6,4,1,7,0,6,1,0,0,0,0
4211,1986,Basic,Married,"$20,425.00 ",10/29/12,5,4,12,5,3,2,7,0,0,0,0,0
1407,1986,Basic,Married,"$20,425.00 ",10/29/12,5,4,12,5,3,2,7,0,0,0,0,0
10356,1957,PhD,Divorced,"$41,437.00 ",9/22/12,5,29,0,2,0,1,7,0,0,0,0,0
9323,1949,Master,Together,"$49,912.00 ",9/7/12,5,520,8,223,32,10,8,1,0,0,0,0
1146,1949,Master,Together,"$49,912.00 ",9/7/12,5,520,8,223,32,10,8,1,0,0,0,0
6343,1959,Graduation,Married,"$79,823.00 ",3/31/14,6,835,73,380,114,6,2,0,1,0,0,0
8545,1954,Graduation,Divorced,"$85,683.00 ",3/21/14,6,1296,17,311,45,2,1,0,1,1,1,1
8275,1965,PhD,Divorced,"$47,025.00 ",2/9/14,6,16,0,3,0,1,7,0,0,0,0,0
10673,1976,PhD,Married,"$68,397.00 ",11/17/13,6,760,80,466,17,6,3,0,0,0,0,0
8799,1984,PhD,Married,"$38,175.00 ",9/23/13,6,70,6,69,2,3,7,0,0,0,0,0
67,1972,Master,Single,"$46,423.00 ",9/18/13,6,68,0,16,0,2,7,0,0,0,0,0
9923,1972,Master,Single,"$46,423.00 ",9/18/13,6,68,0,16,0,2,7,0,0,0,0,0
2814,1976,Master,Together,"$30,560.00 ",6/27/13,6,9,1,5,4,1,7,0,0,0,0,0
2711,1976,Master,Together,"$30,560.00 ",6/27/13,6,9,1,5,4,1,7,0,0,0,0,0
4320,1979,Graduation,Single,"$60,152.00 ",3/28/13,6,325,83,300,86,6,3,0,0,0,0,0
10451,1965,Graduation,Together,"$29,672.00 ",3/12/13,6,9,1,3,0,0,6,0,0,0,0,0
4198,1965,Graduation,Together,"$29,672.00 ",3/12/13,6,9,1,3,0,0,6,0,0,0,0,0
10814,1947,Graduation,Together,"$70,321.00 ",1/16/13,6,303,23,751,82,6,4,0,0,0,0,0
944,1962,Graduation,Married,"$56,181.00 ",1/8/13,6,121,103,69,8,4,4,0,0,0,0,0
8151,1990,Basic,Married,"$24,279.00 ",12/29/12,6,16,36,21,20,4,8,0,0,0,0,0
6184,1969,PhD,Married,"$68,462.00 ",12/12/12,6,561,64,785,84,3,1,0,0,0,0,0
3498,1976,PhD,Married,"$55,424.00 ",11/25/12,6,462,61,184,10,7,6,1,0,0,0,0
2870,1973,Graduation,Married,"$49,094.00 ",9/21/12,6,376,0,38,11,6,6,0,0,0,0,0
7342,1961,2n Cycle,Widow,"$59,184.00 ",9/9/12,6,341,142,113,259,6,5,0,0,0,0,0
1911,1987,Graduation,Together,"$67,430.00 ",9/5/12,6,595,97,291,127,11,6,0,0,0,0,0
10862,1960,Master,Married,"$30,522.00 ",8/17/12,6,179,8,83,19,1,2,0,0,0,0,0
2546,1977,2n Cycle,Single,"$31,878.00 ",6/22/14,7,23,4,5,10,1,3,0,0,0,0,0
3005,1992,Graduation,Single,"$83,528.00 ",5/1/14,7,530,117,678,134,4,1,1,0,0,1,0
8318,1979,Graduation,Together,"$90,300.00 ",1/3/14,7,594,134,786,33,5,1,0,0,1,0,0
2930,1978,Master,Single,"$68,092.00 ",12/16/13,7,852,60,207,78,2,5,0,0,0,0,0
8216,1972,Master,Married,"$53,761.00 ",10/11/13,7,158,0,76,13,4,5,0,0,0,0,0
1212,1973,Graduation,Married,"$52,845.00 ",8/13/13,7,384,25,292,130,8,6,1,0,0,0,0
2541,1976,Graduation,Married,"$24,027.00 ",6/9/13,7,14,7,11,11,2,8,0,0,0,0,0
10659,1979,2n Cycle,Together,"$7,500.00 ",5/7/13,7,2,8,11,3,3,7,0,0,0,0,0
10905,1955,Graduation,Together,"$42,586.00 ",10/29/12,7,194,2,56,0,4,8,0,0,0,0,0
8910,1955,Graduation,Together,"$42,586.00 ",10/29/12,7,194,2,56,0,4,8,0,0,0,0,0
7349,1973,Basic,Together,"$9,722.00 ",10/2/12,7,6,17,16,6,3,8,0,0,0,0,0
7872,1975,PhD,Married,"$86,836.00 ",9/12/12,7,179,21,273,0,6,5,1,0,1,1,0
4290,1972,Graduation,Married,"$30,467.00 ",3/19/14,8,1,3,8,2,1,7,0,0,0,0,0
7408,1952,PhD,Married,"$54,549.00 ",3/3/14,8,216,2,6,0,5,7,0,0,0,0,0
9986,1982,Graduation,Together,"$19,444.00 ",2/22/14,8,16,0,23,3,4,7,0,0,0,0,0
8235,1956,Master,Together,"$69,245.00 ",1/24/14,8,428,30,214,80,6,3,0,0,0,0,0
10949,1963,PhD,Divorced,"$72,968.00 ",12/16/13,8,1092,37,592,145,5,3,0,0,0,1,0
7284,1953,Graduation,Married,"$48,686.00 ",12/4/13,8,10,0,7,2,1,8,0,0,0,0,0
9529,1990,Graduation,Married,"$73,687.00 ",11/28/13,8,559,153,503,218,3,2,0,0,0,1,0
9930,1944,PhD,Single,"$82,716.00 ",11/5/13,8,606,148,228,15,6,2,0,0,0,0,0
10270,1981,2n Cycle,Married,"$35,523.00 ",10/3/13,8,11,5,22,12,3,7,0,0,0,0,0
760,1975,PhD,Divorced,"$60,554.00 ",8/9/13,8,588,7,76,110,8,6,0,0,0,0,0
5519,1956,Graduation,Together,"$64,090.00 ",8/7/13,8,316,58,161,76,6,5,0,0,0,0,0
232,1965,Graduation,Single,"$61,559.00 ",7/17/13,8,279,83,88,32,4,3,0,0,0,0,0
3009,1962,PhD,Widow,"$71,670.00 ",7/9/13,8,1462,16,128,0,5,6,0,1,1,0,1
6518,1951,PhD,Widow,"$67,680.00 ",6/11/13,8,546,0,48,0,7,5,0,0,0,0,0
10669,1981,Graduation,Married,"$54,386.00 ",5/17/13,8,277,21,64,62,3,3,0,0,0,0,0
5682,1953,PhD,Single,"$64,108.00 ",3/23/13,8,948,10,86,13,6,5,0,0,0,0,0
1570,1951,PhD,Together,"$69,702.00 ",2/19/13,8,664,9,240,50,7,4,0,0,0,0,0
1497,1952,Graduation,Single,"$47,958.00 ",1/19/13,8,268,11,88,15,6,5,0,0,0,0,0
9723,1960,Graduation,Married,"$67,716.00 ",1/10/13,8,530,142,217,62,7,5,0,1,0,0,0
7261,1971,Graduation,Together,"$34,600.00 ",1/1/13,8,199,33,60,8,5,8,0,0,0,0,0
2452,1971,Graduation,Together,"$34,600.00 ",1/1/13,8,199,33,60,8,5,8,0,0,0,0,0
5621,1969,Graduation,Married,"$48,752.00 ",12/12/12,8,73,57,100,71,6,9,0,0,0,0,0
10995,1988,2n Cycle,Married,"$15,716.00 ",11/12/12,8,16,5,30,8,3,8,0,0,0,0,0
7373,1952,PhD,Divorced,"$46,610.00 ",10/29/12,8,96,12,96,33,4,6,0,0,0,0,0
5331,1977,Graduation,Married,"$74,985.00 ",9/11/12,8,587,51,898,247,3,2,0,0,0,0,0
263,1945,PhD,Single,"$45,576.00 ",5/28/14,9,56,19,29,2,3,8,0,0,0,0,0
4619,1945,PhD,Single,"$113,734.00 ",5/28/14,9,6,2,3,1,27,1,0,0,0,0,0
940,1987,Graduation,Single,"$57,100.00 ",5/18/14,9,158,11,99,15,3,3,0,0,0,0,0
10084,1972,Graduation,Married,"$24,434.00 ",5/18/14,9,3,2,8,20,2,7,0,0,0,0,0
6019,1971,PhD,Married,"$37,126.00 ",3/30/14,9,45,3,9,4,1,6,1,0,0,0,0
1463,1958,Graduation,Single,"$45,160.00 ",3/29/14,9,8,2,5,3,1,7,0,0,0,0,0
6424,1977,Graduation,Together,"$33,178.00 ",1/30/14,9,12,6,2,11,1,4,0,0,0,0,0
8233,1950,Master,Widow,"$64,866.00 ",1/26/14,9,508,5,21,7,7,5,0,1,0,0,0
1515,1975,Master,Together,"$34,176.00 ",1/22/14,9,11,2,7,4,1,3,0,0,0,0,0
10855,1968,Master,Single,"$50,014.00 ",1/22/14,9,234,14,77,19,4,5,0,0,0,0,0
10909,1948,Graduation,Married,"$92,344.00 ",1/15/14,9,992,24,694,51,5,1,1,0,1,0,0
3376,1970,Master,Divorced,"$55,282.00 ",12/13/13,9,125,6,73,8,3,4,0,0,0,0,0
10232,1963,PhD,Divorced,"$48,799.00 ",11/5/13,9,174,18,81,28,3,3,0,0,0,0,0
5547,1982,PhD,Married,"$84,169.00 ",8/7/13,9,1478,19,403,0,7,3,0,1,1,0,0
8362,1982,PhD,Married,"$84,169.00 ",8/7/13,9,1478,19,403,0,7,3,0,1,1,0,0
3524,1971,Master,Single,"$39,763.00 ",8/4/13,9,80,1,60,4,5,9,0,0,0,0,0
10095,1975,PhD,Divorced,"$74,165.00 ",5/1/13,9,1001,12,240,16,5,2,0,0,0,0,0
8897,1965,Graduation,Single,"$42,720.00 ",4/24/13,9,392,5,91,28,7,8,0,0,0,0,0
466,1944,Graduation,Married,"$65,275.00 ",4/3/13,9,388,14,218,91,4,2,0,0,0,0,0
11025,1961,Graduation,Married,"$36,443.00 ",2/3/13,9,65,0,46,4,3,8,0,0,0,0,0
2387,1952,Master,Together,"$43,776.00 ",2/3/13,9,177,2,71,3,5,8,0,0,0,0,0
1618,1965,Graduation,Together,"$56,046.00 ",1/2/13,9,577,0,64,0,10,8,1,0,0,0,0
25,1958,Graduation,Married,"$65,148.00 ",11/16/12,9,460,35,422,33,6,4,0,0,0,0,0
3277,1955,Graduation,Divorced,"$49,431.00 ",8/3/12,9,219,3,100,26,7,8,0,0,0,0,0
8566,1961,PhD,Together,"$32,583.00 ",6/15/14,10,5,0,3,0,1,7,0,0,0,0,0
2634,1979,Master,Single,"$16,653.00 ",4/18/14,10,5,7,31,15,2,6,0,0,0,0,0
8036,1971,2n Cycle,Together,"$26,850.00 ",4/18/14,10,31,1,13,7,2,4,0,0,0,0,0
8159,1968,Graduation,Married,"$51,287.00 ",4/1/14,10,117,0,22,13,4,7,0,0,0,0,0
7628,1973,2n Cycle,Married,"$43,050.00 ",3/18/14,10,30,5,24,6,2,5,0,0,0,0,0
9597,1969,Graduation,Married,"$73,448.00 ",2/10/14,10,236,106,189,23,7,4,0,0,0,0,0
1384,1992,Basic,Married,"$17,256.00 ",11/23/13,10,6,4,14,8,2,8,1,0,0,0,0
10150,1961,Graduation,Single,"$86,429.00 ",11/21/13,10,464,28,873,29,7,2,0,0,0,1,0
3885,1983,PhD,Married,"$33,569.00 ",10/16/13,10,16,2,18,3,1,8,1,0,0,0,0
11003,1980,2n Cycle,Together,"$25,130.00 ",10/2/13,10,2,5,7,0,2,7,0,0,0,0,0
8026,1952,Graduation,Married,"$62,998.00 ",9/30/13,10,120,58,73,65,5,5,0,0,0,0,0
577,1976,2n Cycle,Together,"$26,907.00 ",8/20/13,10,9,1,7,0,1,7,0,0,0,0,0
8702,1976,2n Cycle,Together,"$26,907.00 ",8/20/13,10,9,1,7,0,1,7,0,0,0,0,0
5429,1948,PhD,Married,"$45,579.00 ",8/20/13,10,145,1,33,2,4,6,0,0,0,0,0
977,1957,Graduation,Together,"$47,320.00 ",8/1/13,10,200,19,111,50,5,6,0,0,0,0,0
2793,1976,PhD,Divorced,"$70,179.00 ",7/21/13,10,532,88,168,69,7,5,0,0,0,0,0
1071,1976,PhD,Divorced,"$70,179.00 ",7/21/13,10,532,88,168,69,7,5,0,0,0,0,0
5074,1986,Master,Married,"$28,072.00 ",7/8/13,10,30,0,10,2,1,7,0,0,0,0,0
2632,1954,Graduation,Married,"$50,501.00 ",6/18/13,10,297,0,38,13,5,6,1,0,0,0,0
6404,1969,Graduation,Together,"$58,917.00 ",3/24/13,10,151,7,89,0,4,5,0,0,0,0,0
10240,1949,Graduation,Together,"$69,372.00 ",2/19/13,10,997,26,269,34,10,4,0,1,1,0,0
2521,1971,Master,Married,"$35,178.00 ",1/10/13,10,23,1,13,2,1,7,1,0,0,0,0
